"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","17 and under","Northern Ireland","Female","15","5"," "
"2020","17 and under","Northern Ireland","Female","5","0"," "
"2021","17 and under","Northern Ireland","Female","5","0"," "
"2022","17 and under","Northern Ireland","Female","10","5"," "
"2019","18","Northern Ireland","Female","3075","890","0.289"
"2020","18","Northern Ireland","Female","3095","1135","0.367"
"2021","18","Northern Ireland","Female","3780","1410","0.373"
"2022","18","Northern Ireland","Female","3590","1280","0.357"
"2023","18","Northern Ireland","Female","2805","1105","0.394"
"2019","19","Northern Ireland","Female","1275","390","0.307"
"2020","19","Northern Ireland","Female","1240","525","0.425"
"2021","19","Northern Ireland","Female","1365","480","0.352"
"2022","19","Northern Ireland","Female","1030","340","0.328"
"2023","19","Northern Ireland","Female","780","265","0.338"
"2019","20","Northern Ireland","Female","650","175","0.266"
"2020","20","Northern Ireland","Female","620","235","0.382"
"2021","20","Northern Ireland","Female","565","180","0.317"
"2022","20","Northern Ireland","Female","575","215","0.377"
"2023","20","Northern Ireland","Female","455","175","0.389"
"2019","21 - 24","Northern Ireland","Female","1075","325","0.3"
"2020","21 - 24","Northern Ireland","Female","920","375","0.405"
"2021","21 - 24","Northern Ireland","Female","1220","370","0.302"
"2022","21 - 24","Northern Ireland","Female","855","305","0.354"
"2023","21 - 24","Northern Ireland","Female","670","275","0.41000000000000003"
"2019","25 - 29","Northern Ireland","Female","545","180","0.328"
"2020","25 - 29","Northern Ireland","Female","485","200","0.40800000000000003"
"2021","25 - 29","Northern Ireland","Female","650","185","0.28200000000000003"
"2022","25 - 29","Northern Ireland","Female","425","140","0.334"
"2023","25 - 29","Northern Ireland","Female","355","145","0.403"
"2019","30 - 34","Northern Ireland","Female","365","120","0.332"
"2020","30 - 34","Northern Ireland","Female","305","125","0.403"
"2021","30 - 34","Northern Ireland","Female","370","125","0.338"
"2022","30 - 34","Northern Ireland","Female","350","125","0.35100000000000003"
"2023","30 - 34","Northern Ireland","Female","250","80","0.328"
"2019","35 and over","Northern Ireland","Female","410","135","0.327"
"2020","35 and over","Northern Ireland","Female","325","155","0.47400000000000003"
"2021","35 and over","Northern Ireland","Female","415","115","0.28200000000000003"
"2022","35 and over","Northern Ireland","Female","430","160","0.372"
"2023","35 and over","Northern Ireland","Female","315","130","0.406"
"2019","17 and under","England","Female","35","15","0.4"
"2020","17 and under","England","Female","30","10","0.4"
"2021","17 and under","England","Female","55","10"," "
"2022","17 and under","England","Female","65","15","0.215"
"2023","17 and under","England","Female","85","15","0.176"
"2019","18","England","Female","24575","11830","0.481"
"2020","18","England","Female","26720","13745","0.514"
"2021","18","England","Female","34475","17650","0.512"
"2022","18","England","Female","34980","16275","0.465"
"2023","18","England","Female","27870","14560","0.522"
"2019","19","England","Female","11225","4630","0.41200000000000003"
"2020","19","England","Female","10810","4805","0.445"
"2021","19","England","Female","12805","5505","0.43"
"2022","19","England","Female","12800","4775","0.373"
"2023","19","England","Female","10390","4365","0.42"
"2019","20","England","Female","5920","2355","0.398"
"2020","20","England","Female","6490","2815","0.434"
